date,predict
2023-03-21,0.667
2023-03-22,0.652
2023-03-23,0.794
2023-03-24,0.909
2023-03-25,1.0
2023-03-26,1.167
2023-03-27,0.643
2023-03-28,0.697
2023-03-29,0.897
2023-03-30,1.029
2023-03-31,0.792
2023-04-01,1.0
2023-04-02,0.8
2023-04-03,0.929
2023-04-04,1.083
2023-04-05,1.0
2023-04-06,1.034
2023-04-07,0.75
2023-04-08,1.0
2023-04-09,1.0
2023-04-10,1.043
2023-04-11,0.714
2023-04-12,1.0
2023-04-13,0.808
2023-04-14,0.941
2023-04-15,0.833
2023-04-16,1.0
2023-04-17,1.105
2023-04-18,1.091
2023-04-19,0.531
2023-04-20,0.467
2023-04-21,0.7
2023-04-22,0.875
2023-04-23,0.5
2023-04-24,0.474
2023-04-25,0.68
2023-04-26,0.931
2023-04-27,1.186
2023-04-28,1.0
2023-04-29,1.143
2023-04-30,0.4
2023-05-01,1.038
2023-05-02,1.118
2023-05-03,0.717
2023-05-04,0.783
2023-05-05,1.043
2023-05-06,1.0
2023-05-07,1.143
2023-05-08,0.889
2023-05-09,0.814
2023-05-10,1.143
2023-05-11,0.962
2023-05-12,1.08
2023-05-13,1.0
2023-05-14,1.0
2023-05-15,0.905
2023-05-16,1.0
2023-05-17,0.957
2023-05-18,1.122
2023-05-19,1.061
2023-05-20,0.875
2023-05-21,1.25
2023-05-22,0.584
2023-05-23,0.905
2023-05-24,0.405
2023-05-25,0.333
2023-05-26,0.667
2023-05-27,0.5
2023-05-28,1.333
2023-05-29,0.714
2023-05-30,1.0
2023-05-31,0.714
2023-06-01,1.067
2023-06-02,1.172
2023-06-03,1.083
2023-06-04,0.571
2023-06-05,0.853
2023-06-06,1.08
2023-06-07,0.867
2023-06-08,0.95
2023-06-09,0.895
2023-06-10,0.8
2023-06-11,0.75
2023-06-12,1.0
2023-06-13,0.862
2023-06-14,0.9
2023-06-15,0.913
2023-06-16,0.778
2023-06-17,0.692
2023-06-18,1.0
2023-06-19,0.8
2023-06-20,1.111
2023-06-21,1.2
2023-06-22,1.0
2023-06-23,0.976
2023-06-24,1.286
2023-06-25,1.25
2023-06-26,0.878
2023-06-27,1.0
2023-06-28,0.882
2023-06-29,0.946
2023-06-30,0.933
2023-07-01,1.4
2023-07-02,1.0
2023-07-03,0.76
2023-07-04,0.913
2023-07-05,0.871
2023-07-06,0.827
2023-07-07,1.04
2023-07-08,1.067
2023-07-09,1.0
2023-07-10,0.898
2023-07-11,0.893
2023-07-12,0.938
2023-07-13,1.0
2023-07-14,1.034
2023-07-15,0.6
2023-07-16,1.0
2023-07-17,0.828
2023-07-18,1.171
2023-07-19,1.0
2023-07-20,0.895
2023-07-21,1.045
2023-07-22,1.333
2023-07-23,0.75
2023-07-24,0.867
2023-07-25,0.818
2023-07-26,1.114
2023-07-27,1.07
2023-07-28,1.152
2023-07-29,0.857
2023-07-30,0.75
2023-07-31,1.316
2023-08-01,0.927
2023-08-02,0.935
2023-08-03,0.917
2023-08-04,1.067
2023-08-05,1.25
2023-08-06,1.0
2023-08-07,1.214
2023-08-08,0.688
2023-08-09,0.938
2023-08-10,0.923
2023-08-11,0.636
2023-08-12,1.0
2023-08-13,1.0
2023-08-14,1.0
2023-08-15,0.765
2023-08-16,1.0
2023-08-17,1.056
2023-08-18,0.621
2023-08-19,0.667
2023-08-20,0.667
2023-08-21,0.676
2023-08-22,1.017
2023-08-23,0.783
2023-08-24,1.022
2023-08-25,0.957
2023-08-26,0.692
2023-08-27,1.25
2023-08-28,1.071
2023-08-29,0.844
2023-08-30,0.921
2023-08-31,1.0
2023-09-01,1.0
2023-09-02,0.867
2023-09-03,1.0
2023-09-04,1.242
2023-09-05,1.074
2023-09-06,0.939
2023-09-07,1.0
2023-09-08,0.929
2023-09-09,0.8
2023-09-10,1.125
2023-09-11,1.086
2023-09-12,1.024
2023-09-13,1.08
2023-09-14,1.087
2023-09-15,1.0
2023-09-16,1.0
2023-09-17,1.0
2023-09-18,0.957
2023-09-19,0.947
2023-09-20,0.93
2023-09-21,0.897
2023-09-22,1.062
2023-09-23,1.25
2023-09-24,0.714
2023-09-25,1.0
2023-09-26,0.625
2023-09-27,1.037
2023-09-28,1.138
2023-09-29,1.065
2023-09-30,1.143
2023-10-01,1.0
2023-10-02,1.333
2023-10-03,0.911
2023-10-04,0.8
2023-10-05,0.889
2023-10-06,0.867
2023-10-07,2.0
2023-10-08,1.0
2023-10-09,1.182
2023-10-10,1.176
2023-10-11,1.095
2023-10-12,1.167
2023-10-13,1.053
2023-10-14,1.25
2023-10-15,1.2
2023-10-16,0.6
2023-10-17,1.0
2023-10-18,0.92
2023-10-19,0.939
2023-10-20,0.833
2023-10-21,0.5
2023-10-22,0.667
2023-10-23,1.083
2023-10-24,0.286
2023-10-25,0.963
2023-10-26,0.683
2023-10-27,0.857
2023-10-28,0.0
2023-10-29,1.0
2023-10-30,1.033
2023-10-31,0.971
2023-11-01,0.933
2023-11-02,0.944
2023-11-03,1.0
2023-11-04,0.667
2023-11-05,1.0
2023-11-06,1.0
2023-11-07,0.829
2023-11-08,1.0
2023-11-09,0.943
2023-11-10,1.176
2023-11-11,0.6
2023-11-12,1.0
2023-11-13,0.923
2023-11-14,1.042
2023-11-15,1.021
2023-11-16,0.906
2023-11-17,0.92
2023-11-18,0.889
2023-11-19,1.0
2023-11-20,0.833
2023-11-21,0.909
2023-11-22,0.929
2023-11-23,1.2
2023-11-24,1.143
2023-11-25,0.786
2023-11-26,0.857
2023-11-27,0.791
2023-11-28,0.711
2023-11-29,0.792
2023-11-30,0.744
2023-12-01,1.029
2023-12-02,1.2
2023-12-03,1.0
2023-12-04,0.905
2023-12-05,0.975
2023-12-06,0.909
2023-12-07,0.873
2023-12-08,1.091
2023-12-09,1.75
2023-12-10,0.625
2023-12-11,1.0
2023-12-12,1.031
2023-12-13,0.978
2023-12-14,0.976
2023-12-15,1.172
2023-12-16,1.143
2023-12-17,1.0
2023-12-18,1.095
2023-12-19,1.098
2023-12-20,0.818
2023-12-21,0.846
2023-12-22,0.708
2023-12-23,0.444
2023-12-24,1.0
2023-12-25,1.0
2023-12-26,1.25
2023-12-27,0.889
2023-12-28,0.8
2023-12-29,0.875
2023-12-30,1.5
2023-12-31,1.5
2024-01-01,1.1
2024-01-02,0.724
2024-01-03,0.909
2024-01-04,0.968
2024-01-05,0.81
2024-01-06,0.714
2024-01-07,1.0
2024-01-08,1.0
2024-01-09,0.94
2024-01-10,0.825
2024-01-11,0.953
2024-01-12,0.677
2024-01-13,1.0
2024-01-14,1.4
2024-01-15,0.867
2024-01-16,1.143
2024-01-17,1.073
2024-01-18,0.98
2024-01-19,1.1
2024-01-20,1.182
2024-01-21,0.667
2024-01-22,1.041
2024-01-23,0.857
2024-01-24,1.083
2024-01-25,1.177
2024-01-26,0.967
2024-01-27,1.25
2024-01-28,1.6
2024-01-29,1.308
2024-01-30,1.357
2024-01-31,0.846
2024-02-01,1.333
2024-02-02,1.514
2024-02-03,1.316
2024-02-04,1.0
2024-02-05,0.828
2024-02-06,1.174
2024-02-07,0.939
2024-02-08,0.824
2024-02-09,1.185
2024-02-10,0.667
2024-02-11,0.875
2024-02-12,1.125
2024-02-13,1.0
2024-02-14,1.034
2024-02-15,0.966
2024-02-16,1.214
2024-02-17,0.5
2024-02-18,1.0
2024-02-19,1.048
2024-02-20,1.125
2024-02-21,1.056
2024-02-22,1.2
2024-02-23,1.176
2024-02-24,0.5
2024-02-25,0.8
2024-02-26,0.75
2024-02-27,0.875
2024-02-28,1.0
2024-02-29,1.0
2024-03-01,0.829
2024-03-02,0.909
2024-03-03,0.667
2024-03-04,0.952
2024-03-05,0.29
2024-03-06,0.673
2024-03-07,0.792
2024-03-08,0.917
2024-03-09,0.75
2024-03-10,0.923
2024-03-11,0.75
2024-03-12,0.878
2024-03-13,1.068
2024-03-14,0.982
2024-03-15,1.121
2024-03-16,0.867
2024-03-17,0.892
2024-03-18,0.943
2024-03-19,1.02
2024-03-20,1.023
2024-03-21,0.646
2024-03-22,0.849
2024-03-23,0.923
2024-03-24,1.1
2024-03-25,0.765
2024-03-26,0.95
2024-03-27,0.878
2024-03-28,0.895
2024-03-29,0.917
2024-03-30,0.846
2024-03-31,0.941
2024-04-01,0.676
2024-04-02,1.0
2024-04-03,0.8
2024-04-04,1.121
2024-04-05,0.863
2024-04-06,0.933
2024-04-07,0.875
2024-04-08,1.03
2024-04-09,1.271
2024-04-10,1.286
2024-04-11,1.122
2024-04-12,0.985
2024-04-13,1.048
2024-04-14,0.9
2024-04-15,1.062
2024-04-16,1.047
2024-04-17,1.341
2024-04-18,1.277
2024-04-19,1.0
2024-04-20,1.304
2024-04-21,1.143
2024-04-22,1.234
