date,predict
2022-06-24,0.7
2022-06-25,1.0
2022-06-26,0.857
2022-06-27,1.0
2022-06-28,1.033
2022-06-29,0.903
2022-06-30,0.75
2022-07-01,1.233
2022-07-02,0.75
2022-07-03,0.5
2022-07-04,1.182
2022-07-05,0.971
2022-07-06,0.868
2022-07-07,0.933
2022-07-08,1.222
2022-07-09,0.5
2022-07-10,1.111
2022-07-11,0.955
2022-07-12,0.846
2022-07-13,0.8
2022-07-14,1.136
2022-07-15,0.654
2022-07-16,0.667
2022-07-17,0.889
2022-07-18,1.0
2022-07-19,0.846
2022-07-20,1.086
2022-07-21,1.028
2022-07-22,0.923
2022-07-23,0.833
2022-07-24,1.111
2022-07-25,0.926
2022-07-26,1.0
2022-07-27,0.889
2022-07-28,0.882
2022-07-29,0.806
2022-07-30,1.125
2022-07-31,1.0
2022-08-01,0.853
2022-08-02,1.133
2022-08-03,1.031
2022-08-04,1.0
2022-08-05,0.875
2022-08-06,0.5
2022-08-07,0.5
2022-08-08,0.931
2022-08-09,0.871
2022-08-10,0.941
2022-08-11,0.966
2022-08-12,1.121
2022-08-13,1.0
2022-08-14,0.778
2022-08-15,1.032
2022-08-16,1.31
2022-08-17,0.815
2022-08-18,1.171
2022-08-19,1.037
2022-08-20,1.0
2022-08-21,0.833
2022-08-22,0.923
2022-08-23,1.0
2022-08-24,1.0
2022-08-25,1.121
2022-08-26,1.087
2022-08-27,1.5
2022-08-28,1.2
2022-08-29,0.84
2022-08-30,0.892
2022-08-31,1.0
2022-09-01,0.944
2022-09-02,0.545
2022-09-03,1.0
2022-09-04,1.5
2022-09-05,0.917
2022-09-06,0.909
2022-09-07,0.947
2022-09-08,1.0
2022-09-09,1.094
2022-09-10,1.0
2022-09-11,1.25
2022-09-12,1.0
2022-09-13,0.939
2022-09-14,0.889
2022-09-15,1.0
2022-09-16,0.97
2022-09-17,0.7
2022-09-18,1.0
2022-09-19,0.842
2022-09-20,1.256
2022-09-21,0.944
2022-09-22,0.741
2022-09-23,0.88
2022-09-24,1.25
2022-09-25,0.0
2022-09-26,1.108
2022-09-27,1.031
2022-09-28,0.974
2022-09-29,0.893
2022-09-30,1.0
2022-10-01,0.833
2022-10-02,0.833
2022-10-03,0.656
2022-10-04,1.0
2022-10-05,0.926
2022-10-06,1.136
2022-10-07,0.968
2022-10-08,1.25
2022-10-09,1.0
2022-10-10,1.133
2022-10-11,0.769
2022-10-12,0.955
2022-10-13,1.295
2022-10-14,0.933
2022-10-15,0.857
2022-10-16,0.909
2022-10-17,0.857
2022-10-18,0.9
2022-10-19,0.897
2022-10-20,0.971
2022-10-21,1.111
2022-10-22,1.286
2022-10-23,0.875
2022-10-24,1.389
2022-10-25,0.889
2022-10-26,0.912
2022-10-27,1.026
2022-10-28,0.73
2022-10-29,1.111
2022-10-30,0.667
2022-10-31,1.167
2022-11-01,1.107
2022-11-02,0.953
2022-11-03,1.026
2022-11-04,0.652
