date,predict
2023-01-27,0.825
2023-01-28,0.833
2023-01-29,0.833
2023-01-30,0.613
2023-01-31,1.03
2023-02-01,0.914
2023-02-02,0.86
2023-02-03,0.697
2023-02-04,0.5
2023-02-05,1.0
2023-02-06,0.677
2023-02-07,1.04
2023-02-08,1.176
2023-02-09,1.125
2023-02-10,0.778
2023-02-11,1.0
2023-02-12,1.0
2023-02-13,1.12
2023-02-14,1.054
2023-02-15,0.968
2023-02-16,1.174
2023-02-17,1.067
2023-02-18,0.75
2023-02-19,1.0
2023-02-20,1.0
2023-02-21,0.844
2023-02-22,1.196
2023-02-23,0.889
2023-02-24,1.0
2023-02-25,0.75
2023-02-26,1.0
2023-02-27,1.1
2023-02-28,1.05
2023-03-01,0.947
2023-03-02,0.933
2023-03-03,0.788
2023-03-04,0.714
2023-03-05,1.0
2023-03-06,0.774
2023-03-07,0.9
2023-03-08,0.885
2023-03-09,1.12
2023-03-10,1.048
2023-03-11,1.111
2023-03-12,0.875
2023-03-13,1.062
2023-03-14,0.979
2023-03-15,1.038
2023-03-16,0.714
2023-03-17,0.808
2023-03-18,0.8
2023-03-19,1.0
2023-03-20,0.468
2023-03-21,0.919
2023-03-22,1.04
2023-03-23,1.094
2023-03-24,0.917
2023-03-25,0.875
2023-03-26,0.5
2023-03-27,0.872
2023-03-28,0.921
2023-03-29,1.088
2023-03-30,1.086
2023-03-31,1.0
2023-04-01,0.923
2023-04-02,1.375
2023-04-03,1.091
2023-04-04,0.976
2023-04-05,1.171
2023-04-06,1.083
2023-04-07,1.192
2023-04-08,0.75
2023-04-09,0.833
2023-04-10,1.154
2023-04-11,1.045
2023-04-12,0.682
2023-04-13,0.967
2023-04-14,1.074
2023-04-15,0.875
2023-04-16,1.143
2023-04-17,1.1
2023-04-18,1.025
2023-04-19,1.071
2023-04-20,1.069
2023-04-21,1.0
2023-04-22,1.0
2023-04-23,1.0
2023-04-24,1.194
2023-04-25,1.0
2023-04-26,0.812
2023-04-27,1.087
2023-04-28,0.944
2023-04-29,1.167
2023-04-30,0.8
2023-05-01,1.184
2023-05-02,1.0
2023-05-03,1.0
2023-05-04,0.941
2023-05-05,1.111
2023-05-06,1.167
2023-05-07,0.667
2023-05-08,1.077
2023-05-09,1.0
2023-05-10,1.0
2023-05-11,0.903
2023-05-12,1.0
2023-05-13,1.333
2023-05-14,1.25
2023-05-15,1.118
2023-05-16,0.824
2023-05-17,1.3
2023-05-18,0.861
2023-05-19,1.148
2023-05-20,1.0
2023-05-21,1.5
2023-05-22,1.02
2023-05-23,1.024
2023-05-24,1.024
2023-05-25,1.067
2023-05-26,1.1
2023-05-27,0.667
2023-05-28,1.0
2023-05-29,0.8
2023-05-30,0.96
2023-05-31,0.565
2023-06-01,0.944
2023-06-02,0.838
2023-06-03,0.8
2023-06-04,0.75
2023-06-05,1.071
2023-06-06,1.133
2023-06-07,1.0
2023-06-08,0.943
2023-06-09,0.92
2023-06-10,1.0
2023-06-11,1.0
2023-06-12,1.083
2023-06-13,0.853
2023-06-14,0.929
2023-06-15,0.907
2023-06-16,0.81
2023-06-17,0.5
2023-06-18,0.667
2023-06-19,0.765
2023-06-20,0.886
2023-06-21,0.566
2023-06-22,0.976
2023-06-23,0.935
2023-06-24,0.667
2023-06-25,1.25
2023-06-26,1.075
2023-06-27,1.14
2023-06-28,1.077
2023-06-29,1.045
2023-06-30,1.0
2023-07-01,0.667
2023-07-02,1.0
2023-07-03,1.0
2023-07-04,1.143
2023-07-05,1.115
2023-07-06,0.977
2023-07-07,0.808
2023-07-08,0.833
2023-07-09,1.0
2023-07-10,1.022
2023-07-11,0.895
2023-07-12,1.128
2023-07-13,1.021
2023-07-14,0.68
2023-07-15,1.125
2023-07-16,1.4
2023-07-17,1.095
2023-07-18,0.722
2023-07-19,1.0
2023-07-20,1.028
2023-07-21,0.968
2023-07-22,1.0
2023-07-23,1.2
2023-07-24,1.174
2023-07-25,1.029
2023-07-26,1.0
2023-07-27,0.923
2023-07-28,1.05
2023-07-29,1.5
2023-07-30,1.5
2023-07-31,1.323
2023-08-01,0.926
2023-08-02,1.143
2023-08-03,1.381
2023-08-04,1.242
2023-08-05,1.0
2023-08-06,1.0
2023-08-07,1.061
2023-08-08,1.154
2023-08-09,1.085
2023-08-10,1.2
2023-08-11,1.138
